Team,C2_att,Att,Pass_plays,PF,20+_yds_Att,GP,Week,20+_yds_Att_per_game
BC,0,1,36,25,8,1,1,8.0
CGY,1,0,36,15,6,1,1,6.0
EDM,0,2,25,13,4,1,1,4.0
HAM,3,0,33,31,11,1,1,11.0
MTL,0,1,20,19,5,1,1,5.0
OTT,0,1,35,12,6,1,1,6.0
SSK,0,1,34,17,6,1,1,6.0
TOR,0,0,0,0,0,0,1,0.0
WPG,0,3,30,42,7,1,1,7.0
BC,0,3,71,47,17,2,2,8.5
CGY,2,1,69,41,10,2,2,5.0
EDM,0,3,47,13,6,2,2,3.0
HAM,5,3,71,45,18,2,2,9.0
MTL,0,1,20,19,5,1,2,5.0
OTT,1,1,73,27,12,2,2,6.0
SSK,0,4,75,44,14,2,2,7.0
TOR,0,1,23,32,4,1,2,4.0
WPG,0,5,61,87,14,2,2,7.0
BC,0,4,101,77,24,3,3,8.0
CGY,2,1,105,67,14,3,3,4.666666666666667
EDM,2,6,76,44,8,3,3,2.6666666666666665
HAM,5,5,118,57,31,3,3,10.333333333333334
MTL,0,2,45,57,10,2,3,5.0
OTT,1,1,73,27,12,2,3,6.0
SSK,1,6,105,73,19,3,3,6.333333333333333
TOR,1,2,46,75,12,2,3,6.0
WPG,0,7,94,93,20,3,3,6.666666666666667
BC,0,5,140,101,42,4,4,10.5
CGY,2,1,105,67,14,3,4,4.666666666666667
EDM,3,7,109,51,15,4,4,3.75
HAM,5,5,118,57,31,3,4,10.333333333333334
MTL,0,3,72,60,14,3,4,4.666666666666667
OTT,1,1,93,53,12,3,4,4.0
SSK,1,6,105,73,19,3,4,6.333333333333333
TOR,1,5,76,120,16,3,4,5.333333333333333
WPG,0,7,118,110,24,4,4,6.0
BC,0,7,166,136,46,5,5,9.2
CGY,2,3,134,78,15,4,5,3.75
EDM,3,7,138,62,18,5,5,3.6
HAM,5,7,144,78,33,4,5,8.25
MTL,0,3,112,79,20,4,5,5.0
OTT,1,2,124,66,14,4,5,3.5
SSK,2,7,134,85,26,4,5,6.5
TOR,1,5,76,120,16,3,5,5.333333333333333
WPG,0,9,146,134,30,5,5,6.0
BC,0,7,166,136,46,5,6,9.2
CGY,2,5,171,111,21,5,6,4.2
EDM,3,9,179,91,24,6,6,4.0
HAM,5,8,165,115,38,5,6,7.6
MTL,0,5,148,106,27,5,6,5.4
OTT,3,4,166,97,17,5,6,3.4
SSK,2,10,165,116,29,5,6,5.8
TOR,1,5,101,155,24,4,6,6.0
WPG,0,9,178,162,36,6,6,6.0
BC,0,7,193,155,53,6,7,8.833333333333334
CGY,5,6,209,152,27,6,7,4.5
EDM,3,9,208,105,28,7,7,4.0
HAM,5,8,206,130,41,6,7,6.833333333333333
MTL,0,5,148,106,27,5,7,5.4
