Team,Team Oppt CFL-wide,1st_down_plays,1st_down_avg_yds,Opp_1st_dn_plays,Opp_1st_dn_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,"1,898 1,567 15,467",287,6.61,258,6.07,106,181
CGY,"1,890 1,766",281,6.73,282,6.26,119,162
EDM,"1,632 1,955  Note:",249,6.55,288,6.79,99,150
HAM,"1,495 2,114  'Pass+' includes Pass attempts",234,6.39,264,8.01,89,145
MTL,"1,465 1,294   and Sacks Allowed",239,6.13,233,5.55,116,123
OTT,"1,674 2,080",285,5.87,266,7.82,127,158
SSK,"1,589 1,645",292,5.44,267,6.16,94,198
TOR,"1,704 1,578",234,7.28,265,5.95,122,112
WPG,"2,120 1,468",286,7.41,264,5.56,136,150
CFL,,"2,387",6.48,"2,387",0.0,"1,008","1,379"
