Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,9,"3,150",350.0,3,501,6.29,164,14,"2,606",738,-194,33%,64%,3%,299,24
CGY,9,"2,944",327.1,6,508,5.80,176,5,"2,221",858,-135,35%,64%,1%,310,17
EDM,9,"2,678",297.6,9,433,6.18,154,2,"2,026",810,-158,36%,64%,0%,254,23
HAM,8,"2,607",325.9,7,425,6.13,126,5,"2,125",609,-127,30%,69%,1%,277,17
MTL,8,"2,634",329.3,5,428,6.15,172,11,"2,026",843,-235,40%,57%,3%,215,30
OTT,9,"2,739",304.3,8,518,5.29,203,13,"1,928","1,104",-293,39%,58%,3%,264,38
SSK,9,"3,122",346.9,4,523,5.97,173,5,"2,505",787,-170,33%,66%,1%,315,30
TOR,8,"2,953",369.1,2,395,7.48,182,4,"2,104",926,-77,46%,53%,1%,199,10
WPG,9,"3,597",399.7,1,500,7.19,204,16,"2,706","1,076",-185,41%,56%,3%,260,20
CFL,39,"26,424",677.5,,"4,231",6.25,"1,554",75,"20,247","7,751","-1,574",37%,61%,2%,"2,393",209
