Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic
BC,206,146,70.9,1091,5,0,73.1,46,28,60.9,428,1,3,104.3,42,13,31.0,563,2,3,87.7
CGY,176,144,81.8,1162,1,3,101.1,54,28,51.9,464,4,3,68.8,46,14,30.4,547,1,8,125.9
EDM,128,97,75.8,783,3,5,94.0,67,41,61.2,751,2,1,92.3,53,29,54.7,892,3,8,144.5
HAM,125,95,76.0,968,3,5,101.0,63,39,61.9,713,2,1,92.9,36,17,47.2,549,3,4,107.3
MTL,170,123,72.4,977,5,0,74.1,38,17,44.7,274,4,0,25.5,53,21,39.6,675,3,6,102.3
OTT,165,129,78.2,1397,5,7,104.0,70,40,57.1,724,3,1,79.7,53,22,41.5,813,6,7,97.4
SSK,143,108,75.5,1028,2,2,93.8,55,31,56.4,524,3,3,84.2,42,13,31.0,447,5,4,54.4
TOR,180,151,83.9,1238,4,4,98.8,46,32,69.6,539,4,1,79.9,50,20,40.0,594,6,9,94.9
WPG,171,122,71.3,975,4,3,81.4,65,35,53.8,540,3,1,67.5,50,16,32.0,591,3,4,79.7
CFL,"1,464","1,115",76.2,"9,619",32,29,90.4,504,291,57.7,4957,26,14,78.9,425,165,38.8,"5,671",32,53,100.2
