Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,Yds,SA,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,"2,606",12,16,68,11,56,290,12.3,"3,681",24,15,338,299,204,68.2,96.4,4.0,8.7,830,1.33
CGY,"2,221",12,8,95,14,52,247,8.4,"2,615",17,10,337,310,194,62.6,76.6,3.9,7.2,"1,045",0.67
EDM,"2,026",14,9,102,12,37,225,9.5,"2,402",23,22,299,254,155,61.0,75.0,5.5,8.0,901,0.64
HAM,"2,125",15,6,75,10,50,266,11.2,"3,089",17,11,305,277,172,62.1,70.4,5.4,7.7,858,0.40
MTL,"2,026",6,7,69,19,44,253,10.0,"2,145",30,20,265,215,144,67.0,96.4,2.8,9.4,990,1.17
OTT,"1,928",10,6,55,8,50,214,9.5,"2,513",38,40,342,264,173,65.5,78.9,3.8,7.3,794,0.60
SSK,"2,505",9,10,60,15,52,278,10.5,"3,300",30,15,360,315,212,67.3,90.0,2.9,8.0,873,1.11
TOR,"2,104",6,13,76,17,38,263,12.1,"2,414",10,8,217,199,137,68.8,112.7,3.0,10.6,807,2.17
WPG,"2,706",6,21,71,23,56,301,12.1,"3,136",20,4,284,260,180,69.2,120.4,2.3,10.4,975,3.50
CFL,"20,247",90,96,102,129,435,519,10.6,"25,295",209,145,"2,747","2,393","1,571",65.6,89.7,3.8,8.5,"8,073",1.07
