Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,1,18,58,8,15%,130,20,25,26,3,74,11,16,2,8,2,4,0,2,2,41,32%
CGY,3,18,63,4,12%,130,15,27,17,2,74,6,21,1,7,2,9,4,2,0,45,35%
EDM,3,24,69,4,11%,121,13,8,15,2,75,7,19,2,8,1,4,1,0,0,44,36%
HAM,1,24,51,6,11%,113,12,19,18,0,61,5,19,3,10,3,3,0,2,1,44,39%
MTL,4,15,44,7,13%,108,14,24,21,1,55,7,22,4,4,1,5,1,1,0,33,31%
OTT,2,21,61,12,9%,135,12,27,24,1,72,5,25,2,4,2,7,2,3,0,56,41%
SSK,4,24,62,6,11%,131,14,21,21,1,73,7,21,3,8,1,7,1,1,1,51,39%
TOR,1,10,51,4,25%,105,26,13,16,1,52,13,19,4,8,3,10,5,0,0,32,30%
WPG,1,18,48,10,24%,126,30,19,16,4,73,15,21,7,11,2,4,2,1,0,46,37%
CFL,20,172,507,61,14.2,"1,099",156,183,174,15,609,76,183,28,68,17,53,16,12,4,392,36%
