Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.8,80,5,3,1,1,7,58,"2,714",40,417,10.4,91,36.2,"2,097",(52),-130,+81,"1,996",34.4
CGY,49.4,77,3,8,3,4,3,63,"3,114",51,610,12.0,94,37.8,"2,384",(41),-45,+103,"2,401",38.1
EDM,46.0,85,5,2,0,3,9,69,"3,177",49,584,11.9,44,34.7,"2,393",(52),-145,+93,"2,289",33.2
HAM,45.1,78,1,4,1,1,5,52,"2,345",42,391,9.3,77,36.8,"1,914",(17),-55,+60,"1,902",36.6
MTL,48.0,67,0,2,0,1,1,44,"2,110",38,337,8.9,33,40.3,"1,773",(0),-17,+20,"1,776",40.4
OTT,48.7,74,2,6,1,4,2,61,"2,969",49,472,9.6,79,39.6,"2,417",(32),-90,+68,"2,363",38.7
SSK,47.4,90,1,4,2,4,8,62,"2,940",51,710,13.9,92,35.3,"2,190",(20),-86,+20,"2,104",33.9
TOR,48.3,66,3,6,0,2,4,51,"2,463",42,450,10.7,52,37.1,"1,893",(32),-45,+28,"1,844",36.2
WPG,46.1,73,2,6,0,1,6,48,"2,211",35,387,11.1,35,36.3,"1,744",(2),-65,+63,"1,740",36.3
CFL,47.3,90,22,41,8,21,,508,"24,043",397,"4,358",11.0,94,37.0,"18,805",(248),-678,+536,"18,415",36.3
