Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg
BC,4,16,3,82,19,2,42,174,15,142,691,4.9,5,164,738,4.5,107,493,4.6
CGY,7,22,3,95,25,5,42,172,10,186,953,5.1,5,176,858,4.9,119,588,4.9
EDM,4,24,6,90,34,6,51,272,22,222,"1,297",5.8,8,154,810,5.3,99,555,5.6
HAM,6,20,2,76,24,7,27,147,11,183,973,5.3,11,126,609,4.8,89,433,4.9
MTL,7,21,5,105,21,4,52,261,20,142,775,5.5,5,172,843,4.9,117,598,5.1
OTT,6,30,6,123,11,3,77,522,40,169,615,3.6,7,203,"1,104",5.4,139,709,5.1
SSK,4,22,3,87,27,3,40,197,15,204,907,4.4,9,173,787,4.5,94,480,5.1
TOR,13,25,6,116,18,0,36,159,8,157,640,4.1,3,182,926,5.1,122,619,5.1
WPG,9,28,3,120,29,7,30,93,4,149,900,6.0,7,204,"1,076",5.3,136,749,5.5
CFL,60,208,37,199,208,37,397,"1,997",145,"1,554","7,751",5.0,60,"1,554","7,751",4.99,"1,022","5,224",5.11
