Team,,OPP_Tot,Diff Rnk,Total,Per_Game,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,,27,-2 T5,25,2.08,3,17,2,1,2,5,17,2,3,0
CGY,,34,-2 T5,32,2.67,3,22,4,2,1,9,14,6,2,3
EDM,,33,0 4,33,2.75,10,18,2,2,1,8,19,4,2,0
HAM,,37,-11 8,26,2.36,4,11,2,8,1,9,23,2,2,1
MTL,,26,+6 3,32,2.91,7,23,2,0,0,8,15,2,0,1
OTT,,39,-18 9,21,1.91,9,9,3,0,0,4,31,4,0,0
SSK,,30,-2 T5,28,2.55,4,19,2,3,0,3,21,4,1,1
TOR,,21,+18 1,39,3.90,8,21,9,1,0,0,13,2,6,0
WPG,,31,+11 2,42,3.50,6,30,2,3,1,8,17,2,4,0
CFL,,278,0,278,5.45,54,170,28,20,6,54,170,28,20,6
2022,,,,377,4.65,84,225,28,28,12,,,,,
2021,,,,277,3.42,62,170,21,12,12,,,,,
2019,,,,387,4.78,87,219,42,26,13,,,,,
2018,,,,435,5.37,101,264,33,26,11,,,,,
2017,,,,445,5.49,83,275,45,29,13,,,,,
