Team,,Team,C2_Rsh,C2_Pass,C2_Def,Rsh_att,Pass_att,C1_att,C1_md,C1_%,C1_miss,C2_att,C2_md,C2_%
BC,,BC,0,0,0,1,1,28,27,96.4,1,2,0,0.0
CGY,,CGY,0,2,0,0,6,18,17,94.4,1,6,2,33.3
EDM,,EDM,1,0,0,2,1,21,20,95.2,1,3,1,33.3
HAM,,HAM,0,3,0,2,5,15,11,73.3,4,7,3,42.9
MTL,,MTL,0,1,0,0,5,20,19,95.0,1,5,1,20.0
OTT,,OTT,1,4,0,1,6,14,14,100.0,0,7,5,71.4
SSK,,SSK,0,2,0,0,4,18,17,94.4,1,4,2,50.0
TOR,,TOR,1,1,0,1,2,39,36,92.3,3,3,2,66.7
WPG,,WPG,0,0,0,0,1,41,37,90.2,4,1,0,0
CFL,,CFL,3,13,0,7,31,214,198,92.5,16,38,16,42.1
