Team,0_9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD
BC,79.8,70,42,60.0,662,1,5,109.3,55,18,32.7,723,4,5,84.1,258,187,72.5,1495,5,1
CGY,103.8,72,36,50.0,585,5,3,62.6,59,18,30.5,717,2,11,126.2,227,184,81.1,1559,1,5
EDM,93.5,82,53,64.6,955,2,1,98.4,62,33,53.2,1008,4,8,130.3,190,145,76.3,1168,3,5
HAM,102.6,78,46,59.0,846,3,3,93.2,54,26,48.1,813,5,7,109.6,175,135,77.1,1343,3,6
MTL,76.3,50,25,50.0,406,4,1,50.9,67,28,41.8,893,5,10,111.1,223,160,71.7,1314,7,2
OTT,103.0,86,50,58.1,887,3,2,86.7,61,27,44.3,1075,7,8,108.3,195,153,78.5,1622,6,8
SSK,90.1,68,40,58.8,684,3,3,89.3,74,26,35.1,902,6,9,88.9,166,125,75.3,1147,3,2
TOR,97.0,59,41,69.5,687,4,4,102.9,67,27,40.3,838,7,12,103.9,234,190,81.2,1529,4,5
WPG,77.0,87,46,52.9,755,3,1,71.8,69,21,30.4,773,3,4,75.3,220,154,70.0,1236,6,3
CFL,90.9,652,379,58.1,6467,28,23,85.7,568,224,39.4,"7,742",43,74,103.6,"1,888","1,433",75.9,"12,413",38,37
