Team,Int,TD,LG,30+,,2D_conversions,,%_YAC,Avg_depth Yds_depth,,SA,Esc_runs,Dropbacks,Att,Com,complete%,Yards,Effic,IC%,Avg,YAC,TDI,Yds_per_game
BC,14,23,78,17,0.0,79,0.0,30.5,"12.7 5,243",0.0,31,21,466,414,277,66.9,"3,693",99.4,3.4,8.9,"1,127",1.64,308
CGY,14,12,95,22,0.0,66,0.0,44.5,"9.0 3,686",0.0,24,12,446,410,257,62.7,"3,113",81.5,3.4,7.6,"1,385",0.86,259
EDM,14,14,102,18,0.0,51,0.0,44.0,"9.7 3,071",0.0,27,41,383,315,199,63.2,"2,718",87.0,4.4,8.6,"1,197",1.00,227
HAM,16,10,75,11,0.0,75,0.0,40.9,"10.5 3,867",0.0,33,19,420,368,240,65.2,"2,861",79.8,4.3,7.8,"1,171",0.63,260
MTL,11,10,69,23,0.0,68,0.0,46.9,"10.5 3,307",0.0,42,30,387,315,207,65.7,"2,838",90.4,3.5,9.0,"1,331",0.91,258
OTT,11,6,55,0,9.0,57,0.0,39.7,"9.4 2,912",0.0,42,48,399,309,204,66.0,"2,230",78.8,3.6,7.2,885,0.55,203
SSK,9,13,64,19,0.0,64,0.0,34.9,"10.9 4,167",0.0,34,19,436,383,252,65.8,"3,070",91.8,2.3,8.0,"1,072",1.44,279
TOR,10,19,76,21,0.0,52,0.0,39.6,"12.2 3,109",0.0,10,11,275,254,173,68.1,"2,692",111.5,3.9,10.6,"1,065",1.90,269
WPG,10,27,71,30,0.0,69,0.0,34.9,"12.5 4,251",0.0,26,5,371,340,227,66.8,"3,407",113.7,2.9,10.0,"1,189",2.70,284
CFL,109,134,102,170,0.0,581,0.0,39.1,"10.8 33,613",0.0,269,206,"3,583","3,108","2,036",65.5,"26,622",92.1,3.5,8.6,10422,1.23,522
