Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,103.5,17,116.6,219,181,82.6,"1,553",0,2,88,51,58.0,860,8,4,68.4,107,45,42.1,"1,280",6
CGY,82.1,6,102.3,280,198,70.7,"1,679",5,3,75,38,50.7,611,5,3,63.8,55,21,38.2,823,4
EDM,86.8,7,130.9,207,147,71.0,"1,307",6,7,63,30,47.6,520,3,0,56.3,45,22,48.9,891,5
HAM,84.9,5,53.4,227,173,76.2,"1,514",7,3,74,46,62.2,742,3,2,87.8,67,21,31.3,605,6
MTL,94.7,5,76.2,194,151,77.8,"1,451",4,3,68,36,52.9,644,1,2,89.3,53,20,37.7,743,6
OTT,93.9,2,4.5,211,159,75.4,"1,332",1,3,64,37,57.8,598,4,1,68.4,34,8,23.5,300,6
SSK,86.6,6,73.8,228,173,75.9,"1,345",5,4,83,58,69.9,985,0,3,121.8,72,21,29.2,740,4
TOR,98.5,11,140.6,140,110,78.6,"1,018",3,4,56,35,62.5,686,2,4,114.1,58,28,48.3,988,5
WPG,93.1,15,177.0,182,141,77.5,"1,214",7,8,81,48,59.3,821,2,4,99.9,77,38,49.4,"1,372",1
CFL,90.9,74,103.6,"1,888","1,433",75.9,"12,413",38,37,652,379,58.1,6467,28,23,85.7,568,224,39.4,"7,742",43
