Team,GP,Record_W,Record_L,Pct,Home_W,Home_L,Away_W,Away_L,Scoring_PF,Scoring_PA,Scoring_Diff
BC,12,8,4,0.667,4,1,4,3.0,309.0,242.0,+67
CGY,13,4,9,0.308,2,4,2,5.0,306.0,350.0,-44
EDM,13,3,10,0.231,2,5,1,5.0,244.0,338.0,-94
HAM,12,5,7,0.417,1,5,4,2.0,255.0,326.0,-71
MTL,12,6,6,0.5,3,3,3,3.0,276.0,299.0,-+23
OTT,12,3,9,0.25,2,4,1,5.0,275.0,310.0,-35
SSK,12,6,6,0.5,4,2,2,4.0,248.0,353.0,-105
TOR,11,10,1,0.909,6,0,4,1.0,387.0,244.0,+143
WPG,13,10,3,0.769,6,1,4,2.0,425.0,263.0,+162
2023 Total,55,55,55,30.0,25,25,30,,49.5,,
In 2022,81,81,81,37.0,44,44,37,,50.4,,
