Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,5,54,547,10.1,91,1,2,45,901,20.0,82,1,3,2,42,22,0,0,1,1,0,2
CGY,,11,71,862,12.1,94,4,6,41,894,21.8,42,0,2,4,199,102,0,3,4,0,0,4
EDM,,6,61,704,11.5,54,0,4,37,588,15.9,62,0,2,2,41,29,0,0,0,0,0,0
HAM,,5,57,574,10.1,77,1,2,39,719,18.4,43,0,2,2,42,30,0,1,1,0,0,1
MTL,,3,54,521,9.6,48,0,2,42,902,21.5,37,0,0,2,74,47,0,1,0,0,0,0
OTT,,5,60,557,9.3,79,1,4,37,700,18.9,37,0,0,2,103,79,0,1,1,0,0,1
SSK,,7,69,889,12.9,92,2,4,33,635,19.2,41,0,1,4,182,86,0,2,2,0,0,2
TOR,,11,49,531,10.8,52,0,2,60,"1,623",27.1,79,0,8,1,60,60,0,1,0,0,0,0
WPG,,6,51,627,12.3,45,0,2,66,"1,678",25.4,62,0,4,2,18,11,0,0,0,0,0,0
CFL,222,59,526,"5,812",11.0,94,9,28,400,"8,640",21.6,82,1,22,21,761,102,0,9,9,1,0,10
