Team,T/O,Punt,Oth,TD%,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,22,86,6,11%,167,19,30,4,23,4,88,6,32,3,16,3,6,3,2,0,53,32%
CGY,22,83,13,16%,182,29,31,4,28,2,104,14,29,5,10,4,7,2,4,2,61,34%
EDM,17,71,10,18%,170,30,35,7,36,1,90,15,29,8,9,4,6,2,0,0,55,32%
HAM,26,63,11,20%,164,33,26,5,25,2,80,19,34,6,9,0,15,6,1,0,47,29%
MTL,27,66,8,17%,165,28,32,4,25,3,99,12,20,2,9,4,11,5,1,0,59,36%
OTT,28,76,5,18%,168,31,28,0,27,2,94,18,29,6,9,1,8,4,1,0,55,33%
SSK,18,77,9,18%,170,31,32,3,22,4,98,16,29,4,7,3,12,4,2,0,61,36%
TOR,29,74,10,16%,155,25,16,1,26,1,98,14,17,4,9,4,5,2,0,0,57,37%
WPG,32,85,8,10%,177,17,29,6,27,3,93,8,36,1,11,1,8,2,2,2,71,40%
CFL,221,681,80,16.0,"1,518",243,259,34,239,22,844,122,255,39,89,24,78,30,13,4,519,34%
