2023 CFL,Unnamed: 0,2023 PENALTIES BY TEAM: (INCL. DECLINED),Unnamed: 1,Unnamed: 2,15,Unnamed: 3,53 16.2
PENALTIES BY TEAM,,BC CGY EDM HAM MTL OTT SSK,TOR,WPG,16,,50 16.2
PREVENTABLE:,CFL,,,,17,,57 16.1
Offside - Offence,37,6 5 5 4 7 3 1,4,2,18,,72 16.2
Offside - Defence,90,15 3 19 6 12 9 9,11,6,19,,58 16.1
Procedure,64,6 10 5 13 1 7 7,10,5,20,,62 16.1
Procedure No End,8,0 0 0 2 2 0 0,1,3,21,,72 16.2
Illegal Sub/Too Many Men,19,2 2 5 2 3 0 1,4,0,,,
Illegal  Formation,1,1 0 0 0 0 0 0,0,0,,,
Illegal Participation,6,0 2 1 0 1 0 0,0,2,BREAKING DOWN 2023,,Avg
Time Count,36,6 3 1 6 3 1 2,9,5,PENALTY YARDAGE,Yards,No Yds
Objectionable Conduct,42,2 3 5 10 6 2 6,8,0,TOTAL,"8,106",877 9.2
No Yards,45,5 8 7 7 2 4 8,2,2,Offence,"2,360",322 7.3
IDK (Ill. Downfield),5,0 0 2 2 1 0 0,0,0,Defence,"3,336",319 10.5
Contacting Kicker,2,0 0 1 0 1 0 0,0,0,Special Teams,"2,410",236 10.2
Illegal Punt,13,2 1 3 2 0 2 1,0,2,IN DETAIL:,,
Illegal Kickoff,5,0 0 2 2 0 1 0,0,0,Roughness / Obj Cond:,,
TECHNICAL:,,,,,URs - Individual Calls,"1,854",147 12.6
Intentional Ground,8,0 1 3 1 0 0 1,0,2,OCs - Individual Calls,232,30 7.7
Holding - Offence,86,16 9 12 5 5 7 11,11,10,UR-OC Offsets *,979,52 18.8
Illegal Blk - Offence,17,1 3 1 3 1 1 1,4,2,Pass Defence Calls:,,
Holding - Return,67,11 8 6 11 11 7 7,1,5,Def. Pass Interference,"1,090",56 19.5
Illegal Blk - Return,42,4 8 5 4 10 1 1,4,5,Illegal Contact,160,28 5.7
Defensive Pass Interf.,56,6 8 12 8 4 3 6,4,5,Off. Pass Interference,30,9 3.3
Illegal Contact (ICR),28,8 4 5 1 4 2 2,0,2,Kick Cover & Returns:,,
Off. Pass Interference,9,0 2 0 2 1 0 0,0,4,Return Holding & Ill Block,920,109 8.4
Inelig Rec/Ill Fwd Pass,0,0 0 0 0 0 0 0,0,0,No Yards / IDK,640,50 12.8
Pyramiding/Ill Inter*,4,0 1 2 0 0 1 0,0,0,Illegal Kicks OB,180,18 10.0
ROUGHNESS:,,,,,Offence - Hold/Il. Block:,,
UR - General,109,12 11 13 12 14 14 10,16,7,Holding & Illegal Block,778,103 7.6
UR - Roughing Passer,36,5 4 3 6 4 0 4,5,5,All Other Calls:,,
UR - Face Mask,25,1 4 2 3 4 4 4,3,0,"Offside, Proc., Tm Ct ...","1,243",275 4.5
UR - Horse Coll Tackle,8,2 0 3 0 1 1 0,0,1,,,
UR - Blindside Block,3,0 0 1 0 0 0 2,0,0,,,
UR - Clip/Crack Back,0,0 0 0 0 0 0 0,0,0,2023 PLAY CALL TRENDS,,
UR - Cut/Chop Block,1,0 0 0 0 0 1 0,0,0,In  Offensive Plays Run,,Negated by Pn
UR - Spearing,1,0 0 1 0 0 0 0,0,0,2023 Rush Pass Sacks Oth TL,,Ran No Ply
UR - Piling On,0,0 0 0 0 0 0 0,0,0,"Total 2,252 3,325 277",103,267 146
UR - Roughing Kicker,2,0 0 0 1 0 1 0,0,0,%Tot 35% 52% 4%,2%,4% 2%
Rough Play DQ,2,0 0 1 0 1 0 0,0,0,Most Recent 3 Weeks (#9-11),,
ACCEPTED,877,98 87 108 99 86 65 75,88,67,"Total 1,050 1,368 102",42,118 71
DECLINED (included),(104),(13) (13) (18) (14) (13) (7) (9),(9),(8),%Tot 38% 50% 4%,2%,4% 3%
