Team,TOP,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_YdL,Gp,Games_+,Games_-,avg_Gap
BC,30:10,183,"6,426",35.1,18,5,182,39.1,13,4,9,-4.0
CGY,29:21,186,"7,145",38.4,26,8,182,37.2,13,7,6,+1.3
EDM,29:19,184,"6,779",36.8,16,3,183,34.4,14,9,5,+2.5
HAM,31:04,172,"6,212",36.1,22,5,176,39.2,13,4,9,-3.1
MTL,29:41,173,"6,232",36.0,15,3,178,37.5,13,4,9,-1.5
OTT,31:19,187,"6,851",36.6,17,7,182,38.3,13,5,8,-1.6
SSK,28:55,187,"7,061",37.8,25,7,184,37.6,13,7,6,0.1
TOR,28:32,161,"6,583",40.9,34,15,169,33.8,12,12,0,+7.1
WPG,31:28,193,"7,251",37.6,24,10,190,37.8,14,7,7,-0.3
CFL,,"1,626","60,540",37.2,197,63,"1,626",37.2,,,,
