Unnamed: 0,On 1st Down,CFL,1ST D CALLS,Opp 1st Dn:,CFL.1,1st Dn Yds:,Unnamed: 1,1ST DOWNS - TEAM:,1ST DNS - OPPT:
TM,Plays Avg Yd,Rank,Rush  Pass+,Plays Av Yd,Rank,Team Oppt,TM,Tot Rush Pass Pen,Opp F Rush Pass
BC,448 7.09,4,152 296,414 6.06,,"3,176 2,509",BC,297 81 191 25,264 90 148
CGY,432 6.56,5,182 250,431 6.82,,"2,832 2,940",CGY,264 93 152 19,281 118 142
EDM,429 7.20,3,203 226,463 6.78,,"3,087 3,139",EDM,269 108 135 26,314 118 167
HAM,419 5.81,,174 245,444 7.88,,"2,436 3,500",HAM,263 85 162 16,300 109 168
MTL,421 6.46,6,179 242,431 5.97,,"2,718 2,571",MTL,266 85 156 25,277 98 155
OTT,453 6.18,7,213 240,430 7.50,,"2,799 3,226",OTT,280 121 133 26,279 75 187
SSK,433 5.61,,150 283,436 7.32,,"2,429 3,191",SSK,266 85 166 15,275 110 146
TOR,390 7.54,1,198 192,421 5.80,,"2,939 2,441",TOR,260 93 148 19,264 74 169
WPG,448 7.50,2,215 233,403 5.61,,"3,362 2,261",WPG,310 115 167 28,221 74 128
CFL,"3,873 6.66",,"1,666 2,207","3,873 6.66",,"25,778",CFL,"2475 866 1,410 199","2,475 866 1410"
