TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,160 67%,42,25,59.5,12,4,1,203,69%,34,17,50.0,14,3,0
CGY,174 71%,39,18,46.2,16,5,0,173,63%,35,20,57.1,12,3,0
EDM,232 69%,29,18,62.1,7,4,0,145,71%,48,25,52.1,19,2,2
HAM,239 68%,41,23,56.1,15,3,0,204,71%,50,28,56.0,14,7,1
MTL,204 68%,38,19,50.0,12,7,0,168,63%,43,23,53.5,15,5,0
OTT,239 71%,39,19,48.7,13,5,2,174,64%,48,29,60.4,16,3,0
SSK,203 76%,39,18,46.2,16,5,0,174,64%,38,24,63.2,11,3,0
TOR,164 71%,45,31,68.9,11,3,0,250,79%,33,20,60.6,8,4,1
WPG,142 61%,50,31,62.0,16,2,1,266,76%,33,16,48.5,9,8,0
CFL,"1,757 69%",362,202,55.8,118,38,4,"1,757",69%,362,202,55.8,118,38,4
