Team,,Team,% Md,Rsh_att Pass_att,C2_Def,Rsh_att Pass_att,C1_att,C1_md,C1_%,C1_miss,C2_att,C2_md
BC,,BC,0.0,0 0,0,1 2,39,38,97.4,1,3,0
CGY,,CGY,33.3,0 2,0,0 6,21,20,95.2,1,6,2
EDM,,EDM,25.0,1 0,0,2 2,30,28,93.3,2,4,1
HAM,,HAM,50.0,0 3,1,2 5,24,19,79.2,5,8,4
MTL,,MTL,20.0,0 1,0,0 5,30,29,96.7,1,5,1
OTT,,OTT,77.8,1 6,0,1 8,25,25,100.0,0,9,7
SSK,,SSK,50.0,0 3,0,0 6,26,24,92.3,2,6,3
TOR,,TOR,50.0,1 1,0,2 2,49,45,91.8,4,4,2
WPG,,WPG,0.0,0 0,0,0 2,51,46,90.2,5,2,0
CFL,,CFL,42.6,3 16,1,8 38,295,274,92.9,21,47,20
