Team,LG,S,FG Atts,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,Atts 81,44,41,93.18181818181817,22,22,100.0,22,19,86.4,4,2,"1,386",33.8,"1,537",34.9
CGY,53,0,Made 74,54,47,87.03703703703704,26,25,96.2,28,22,78.6,7,6,"1,719",36.6,"2,040",37.8
EDM,46,3,% 91%,26,21,80.76923076923077,13,12,92.3,13,9,69.2,1,0,677,32.2,894,34.4
HAM,50,3,,40,34,85.0,31,30,96.8,9,4,44.4,3,1,"1,010",29.7,"1,290",32.3
MTL,51,3,,48,37,77.08333333333334,25,21,84.0,23,16,69.6,4,3,"1,257",34.0,"1,721",35.9
OTT,54,2,,43,36,83.72093023255815,21,20,95.2,22,16,72.7,11,8,"1,270",35.3,"1,592",37.0
SSK,54,2,,40,33,82.5,26,24,92.3,14,9,64.3,7,3,"1,025",31.1,"1,343",33.6
TOR,51,1,,29,27,93.10344827586208,21,21,100.0,8,6,75.0,2,1,872,32.3,963,33.2
WPG,53,0,,40,37,92.5,24,25,104.2,15,12,80.0,5,3,"1,147",31.9,"1,344",33.6
CFL,54,14,,364,313,85.98901098901099,209,200,95.7,154,113,73.4,44,27,"10,363",33.2,"12,724",35.0
