Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,3,,2,4,3,8,74,844,11.4,68,49,"1,067",21.8,62,0,5,214,120,1,0,0,1,1
CGY,0,4,,2,5,1,7,73,865,11.8,54,59,"1,253",21.2,47,0,3,135,86,0,0,0,0,0
EDM,0,2,,4,6,1,7,65,656,10.1,52,57,"1,195",21.0,72,0,4,80,30,0,0,0,0,0
HAM,0,4,,8,1,3,15,59,633,10.7,54,62,"1,440",23.2,71,1,4,215,79,0,0,1,0,1
MTL,1,6,,4,2,1,11,63,635,10.1,77,58,"1,327",22.9,79,0,4,96,60,0,1,0,0,1
OTT,1,6,,1,7,1,8,73,801,11.0,79,62,"1,270",20.5,42,0,2,88,69,0,1,0,0,1
SSK,3,4,,3,3,1,8,78,893,11.4,107,68,"1,508",22.2,82,0,2,88,59,0,3,0,0,3
TOR,4,10,,1,9,0,11,74,"1,080",14.6,91,46,838,18.2,41,0,3,11,6,0,4,0,0,4
WPG,1,2,,3,8,2,7,70,762,10.9,92,34,694,20.4,43,0,5,215,102,0,1,0,0,1
CFL,10,41,270,28,,13,82,629,"7,169",11.4,107,495,"10,592",21.4,82,1,32,"1,142",120,1,10,1,1,12
