Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,15,"4,697",313.1,809,5.81,272,3,"3,704","1,346",-353,34%,66%,0%,485,49
CGY,15,"5,165",344.3,813,6.35,318,23,"3,525","1,890",-250,39%,58%,3%,435,37
EDM,15,"5,689",379.3,821,6.93,344,19,"3,876","2,020",-207,42%,56%,2%,424,34
HAM,15,"5,596",373.1,819,6.83,328,20,"4,099","1,763",-266,40%,58%,2%,439,32
MTL,15,"5,224",348.3,827,6.32,298,16,"3,767","1,701",-244,36%,62%,2%,483,30
OTT,15,"5,636",375.7,808,6.98,287,11,"4,692","1,226",-282,36%,63%,1%,469,41
SSK,15,"5,553",370.2,811,6.85,346,16,"3,957","1,841",-245,43%,55%,2%,415,34
TOR,14,"5,020",358.6,828,6.06,270,4,"4,212","1,134",-326,33%,67%,0%,505,49
WPG,15,"4,472",298.1,757,5.91,253,10,"3,370","1,399",-297,33%,65%,1%,454,40
CFL,67,"47,052",702.3,"7,293",6.45,"2,716",122,"35,202","14,320","-2,470",37%,###,2%,"4,109",346
