Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,8,32,5,83.7,37,5,260,"1,255",4.8,164,822,5.0,75,377,32,272,"1,346",4.9,14
CGY,10,40,5,95.1,54,13,288,"1,427",5.0,193,988,5.1,59,233,16,318,"1,890",5.9,11
EDM,12,64,16,130.5,56,9,317,"1,958",6.2,203,"1,335",6.6,105,749,57,344,"2,020",5.9,16
HAM,10,49,6,93.7,50,12,276,"1,405",5.1,187,943,5.0,55,313,30,328,"1,763",5.4,18
MTL,13,34,8,100.2,56,12,291,"1,503",5.2,193,"1,014",5.3,85,432,33,298,"1,701",5.7,18
OTT,21,63,13,131.4,32,7,359,"1,971",5.5,236,"1,288",5.5,134,816,59,287,"1,226",4.3,13
SSK,11,36,4,80.8,60,10,273,"1,212",4.4,160,773,4.8,66,280,23,346,"1,841",5.3,16
TOR,22,42,11,110.0,31,0,295,"1,540",5.2,206,"1,041",5.1,53,254,21,270,"1,134",4.2,5
WPG,16,57,10,136.6,41,10,357,"2,049",5.7,236,"1,396",5.9,56,195,10,253,"1,399",5.5,12
CFL,123,417,78,213.7,417,78,"2,716","14,320",5.27,"1,778","9,600",5.40,688,"3,649",281,"2,716",14320,5.3,123
