Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,69.6,65.1,36.8,321,160,49.8,56,39,83,54,182,67,"2,480",7.73
CGY,77.5,38.8,33.2,347,155,44.7,80,62,80,31,187,62,"2,553",7.36
EDM,65.0,56.0,33.1,295,136,46.1,60,39,84,47,151,50,"2,180",7.39
HAM,64.0,51.2,41.1,339,159,46.9,50,32,82,42,207,85,"2,647",7.81
MTL,75.0,47.6,37.1,321,152,47.4,64,48,82,39,175,65,"2,340",7.29
OTT,71.6,48.6,33.0,335,148,44.2,67,48,74,36,194,64,"2,423",7.23
SSK,63.3,44.4,36.0,335,143,42.7,60,38,72,32,203,73,"2,585",7.72
TOR,74.6,52.7,36.8,273,136,49.8,63,47,74,39,136,50,"2,007",7.35
WPG,82.1,61.5,37.4,329,181,55.0,78,64,96,59,155,58,"2,129",6.47
CFL,72.1,52.1,36.1,"2,895","1,370",47.3,578,417,727,379,"1,590",574,"21,344",7.37
