Team,,Diff,,Total,Per_Game,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_Tot,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,,+5,85.0,39,2.44,5,26,3,2,3,34,5,22,3,4,0
CGY,,-8,68.0,37,2.47,5,25,4,2,1,45,13,19,8,2,3
EDM,,+3,45.0,47,2.94,16,24,2,4,1,44,9,25,8,2,0
HAM,,-3,81.0,44,2.75,6,23,4,8,3,47,14,28,2,2,1
MTL,,+12,70.0,49,3.06,9,28,7,4,1,37,12,19,3,1,2
OTT,,-24,87.0,32,2.00,13,11,6,1,1,56,8,36,8,1,3
SSK,,-19,,37,2.31,6,23,4,3,1,56,10,36,5,3,2
TOR,,+17,,51,3.40,11,27,12,1,0,34,0,20,4,9,1
WPG,,+17,,56,3.50,10,39,2,3,2,39,10,21,3,4,1
CFL,,0,,392,5.52,81,226,44,28,13,392,81,226,44,28,13
