Team,Rank,Rank.1,Team Oppt,Team.1,1st_down_plays,1st_down_avg_yds,Opp_1st_dn_plays,Opp_1st_dn_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,3.0,4.0,"3,669 3,145",BC,509,7.21,492,6.39,170,339
CGY,6.0,6.0,"3,006 3,151",CGY,466,6.45,459,6.86,193,273
EDM,4.0,5.0,"3,231 3,320",EDM,459,7.04,494,6.72,210,249
HAM,8.0,8.0,"2,876 3,780",HAM,480,5.99,507,7.46,211,269
MTL,5.0,3.0,"3,150 2,931",MTL,481,6.55,491,5.97,205,276
OTT,7.0,9.0,"3,159 3,658",OTT,513,6.16,490,7.47,233,280
SSK,9.0,7.0,"2,828 3,730",SSK,500,5.66,503,7.42,175,325
TOR,1.0,1.0,"3,341 2,831",TOR,444,7.52,490,5.78,227,217
WPG,2.0,2.0,"3,951 2,665",WPG,527,7.5,453,5.88,244,283
CFL,,,"29,211",CFL,"4,379",6.67,"4,379",6.67,"1,868","2,511"
