LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,Oppt_start_Poss Oppt_start_YdL Oppt_start_Av_YL Oppt_start_Rk,TM,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg
79,1,0,1,4,T5,"63 2,300 36.5",BC,65,"3,966",61.0,63,"1,248",19.8,82,63,"3,937",62.5
82,0,0,0,2,3,"43 1,600 37.2",CGY,45,"2,913",64.7,45,945,21.0,42,44,"2,898",65.9
100,1,1,0,2,9,"51 1,996 39.1",EDM,53,"3,049",57.5,49,806,16.4,62,53,"3,049",57.5
79,1,0,0,2,7,"54 2,147 39.8",HAM,56,"3,314",59.2,51,994,19.5,43,53,"3,272",61.7
80,0,0,0,1,4,"58 2,088 36.0",MTL,59,"3,863",65.5,58,"1,256",21.7,42,59,"3,863",65.5
77,0,0,0,1,8,"52 2,015 38.8",OTT,52,"3,132",60.2,51,999,19.6,50,52,"3,132",60.2
95,1,3,0,3,T5,"48 1,799 37.5",SSK,51,"2,988",58.6,46,909,19.8,43,47,"2,936",62.5
100,2,0,0,9,1,"77 2,679 34.8",TOR,78,"5,613",72.0,76,"1,976",26.0,79,78,"5,613",72.0
90,1,0,0,4,2,"80 3,010 37.6",WPG,81,"5,380",66.4,80,"1,978",24.7,62,81,"5,380",66.4
100,7,4,1,28,,"526 19,634 37.3",CFL,540,"34,218",63.4,519,"11,111",21.4,82,530,"34,080",64.3
