,Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
,BC,346,153,44.2,67,50,74.6,83,36,43.4,196,67,34.2,"2,658",7.68
,CGY,321,151,47.0,72,56,77.8,87,52,59.8,162,43,26.5,"2,355",7.34
,EDM,354,187,52.8,70,53,75.7,101,60,59.4,183,74,40.4,"2,432",6.87
,HAM,336,168,50.0,73,54,74.0,74,41,55.4,189,73,38.6,"2,424",7.21
,MTL,353,168,47.6,69,47,68.1,93,49,52.7,191,72,37.7,"2,524",7.15
,OTT,341,166,48.7,63,43,68.3,89,41,46.1,189,82,43.4,"2,556",7.50
,SSK,340,168,49.4,71,54,76.1,82,45,54.9,187,69,36.9,"2,477",7.29
,TOR,347,156,45.0,72,45,62.5,74,40,54.1,201,71,35.3,"2,669",7.69
,WPG,329,142,43.2,49,36,73.5,85,41,48.2,195,65,33.3,"2,583",7.85
,CFL,"3,067","1,459",47.6,606,438,72.3,768,405,52.7,"1,693",616,36.4,"22,678",7.39
