Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,1,4,5,69,"4,231",61.3,67,"1,312",19.6,82,67,"4,202",62.7,"2,424",36.2
CGY,82,0,0,0,2,3,49,"3,162",64.5,49,"1,018",20.8,42,48,"3,147",65.6,"1,744",37.1
EDM,100,1,1,0,2,9,57,"3,278",57.5,53,864,16.3,62,57,"3,278",57.5,"2,145",39.0
HAM,79,1,0,0,3,7,61,"3,635",59.6,56,"1,132",20.2,49,58,"3,593",61.9,"2,364",40.1
MTL,80,0,0,0,1,4,64,"4,195",65.5,63,"1,373",21.8,42,64,"4,195",65.5,"2,245",36.2
OTT,77,0,0,0,1,8,56,"3,353",59.9,54,"1,061",19.6,50,56,"3,353",59.9,"2,202",39.3
SSK,95,1,3,0,3,6,54,"3,169",58.7,49,954,19.5,43,50,"3,117",62.3,"1,913",37.5
TOR,100,2,0,1,10,1,82,"5,894",71.9,80,"2,141",26.8,93,82,"5,894",71.9,"2,773",34.7
WPG,90,1,0,0,4,2,81,"5,380",66.4,80,"1,978",24.7,62,81,"5,380",66.4,"3,010",37.6
CFL,100,7,4,2,30,,573,"36,297",63.3,551,"11,833",21.5,93,563,"36,159",64.2,"20,820",37.4
