Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,YAC,YAC,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,YAC
BC,15,18,71,24,95,1.20,259,41.4,"1,825",9.5,"5,334",54,27,645,564,375,66.5,"4,408",89.6,2.7,7.8,41.4,"1,825"
CGY,13,23,76,21,73,1.77,237,42.5,"1,614",9.7,"4,518",39,36,543,468,310,66.2,"3,797",95.9,2.8,8.1,42.5,"1,614"
EDM,13,22,70,26,106,1.69,254,35.5,"1,531",11.0,"5,190",39,28,539,472,324,68.6,"4,312",101.4,2.8,9.1,35.5,"1,531"
HAM,19,22,70,28,100,1.16,272,38.8,"1,790",11.0,"5,540",38,38,578,502,331,65.9,"4,616",94.2,3.8,9.2,38.8,"1,790"
MTL,20,17,68,20,120,0.85,244,36.5,"1,511",10.1,"5,461",39,30,608,539,351,65.1,"4,145",83.4,3.7,7.7,36.5,"1,511"
OTT,22,29,95,39,108,1.32,310,41.4,"2,183",10.7,"5,727",43,35,612,534,369,69.1,"5,274",101.8,4.1,9.9,41.4,"2,183"
SSK,14,30,102,37,89,2.14,267,42.8,"1,944",11.8,"5,530",35,40,544,469,309,65.9,"4,541",106.2,3.0,9.7,42.8,"1,944"
TOR,23,27,84,22,100,1.17,291,43.4,"2,023",9.5,"5,304",63,31,652,558,398,71.3,"4,661",95.3,4.1,8.4,43.4,"2,023"
WPG,13,11,80,21,85,0.85,233,35.3,"1,314",11.3,"5,527",46,44,577,487,295,60.6,"3,722",80.8,2.7,7.6,35.3,"1,314"
CFL,152,199,102,238,876,1.31,526,39.9,15735,10.5,"48,131",396,309,"5,298","4,593","3,062",66.7,"39,476",94.1,3.3,8.6,39.9,15735
