Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,1,43,6,0,1,1,0,38,33,15,18,3,0,58,139,94,99,8
CGY,3,40,9,0,4,0,0,42,32,12,23,3,0,83,131,77,114,14
EDM,4,47,8,1,0,0,1,46,37,19,22,3,1,88,132,142,110,0
HAM,1,39,5,3,1,0,0,45,39,19,22,3,0,106,126,80,127,0
MTL,1,37,4,0,0,0,0,37,33,19,17,0,1,95,100,75,102,0
OTT,3,39,10,0,2,0,1,52,35,16,29,1,3,84,134,124,129,9
SSK,2,44,9,2,2,0,0,54,49,18,30,2,2,81,168,109,155,9
TOR,3,29,4,0,0,1,0,37,29,6,27,2,1,66,112,60,110,0
WPG,5,37,9,0,0,0,0,31,23,13,11,4,3,99,83,74,69,14
CFL,23,355,64,6,10,2,2,382,310,137,199,21,11,760,"1,125",835,"1,015",54
