Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,0,0,0,2,2,6,29,4.8,9,2,59,29.5,30,0,2,82,48,0,0,0,0,0
CGY,0,0,0,1,0,1,4,41,10.3,19,4,112,28.0,43,0,0,0,0,0,0,0,0,0
EDM,0,0,0,0,0,0,6,49,8.2,15,2,34,17.0,17,0,0,0,0,0,0,0,0,0
HAM,0,0,0,1,0,1,3,17,5.7,9,7,161,23.0,40,0,0,0,0,0,0,0,0,0
MTL,0,0,0,0,0,0,4,33,8.3,23,3,43,14.3,25,0,0,0,0,0,0,0,0,0
OTT,0,0,0,0,0,0,7,51,7.3,14,3,64,21.3,30,0,0,0,0,0,0,0,0,0
SSK,0,0,0,1,0,1,9,85,9.4,19,2,84,42.0,62,0,0,0,0,0,0,0,0,0
TOR,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
WPG,0,0,0,1,0,1,5,48,9.6,16,2,61,30.5,43,0,0,0,0,0,0,0,0,0
CFL,0,0,0,4,2,6,44,353,8.0,23,25,618,24.7,62,0,2,82,48,0,0,0,0,0
