Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
BC,23,10,43.5,5,3,60.0,7,3,42.9,11,4,36.4,160,6.96
CGY,23,13,56.5,5,4,80.0,10,6,60.0,8,3,37.5,137,5.96
EDM,26,13,50.0,5,2,40.0,4,2,50.0,17,9,52.9,186,7.15
HAM,23,13,56.5,4,3,75.0,7,5,71.4,12,5,41.7,147,6.39
MTL,22,7,31.8,3,2,66.7,2,1,50.0,17,4,23.5,173,7.86
OTT,22,9,40.9,3,2,66.7,5,2,40.0,14,5,35.7,183,8.32
SSK,18,4,22.2,5,2,40.0,1,1,100.0,12,1,8.3,138,7.67
TOR,0,0,,0,0,,0,0,,0,0,,0,
WPG,18,7,38.9,3,3,100.0,4,3,75.0,11,1,9.1,131,7.28
CFL,175,76,43.4,33,21,63.6,40,23,57.5,102,32,31.4,"1,255",7.17
