TEAM PUNTING,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,OPPONENT RETURNS,Unnamed: 4,Unnamed: 5,NET PUNTING*,CFL,FIELD POSITION ADJUSTMENTS **
TM No Yards,Avg,LG,S,I10,No Yards Avg LG,TD,30+,Avg NetYd*,Rnk,Sgl* Cover Retn FP Yds Avg
BC 7 308,44.0,63,1,0,4 41 10.3 19,0,0,32.4 227,8,(16) -55 +0 156 22.3
CGY 6 315,52.5,63,0,1,6 29 4.8 9,0,0,47.7 286,1,(0) 0 +0 286 47.7
EDM 9 446,49.6,62,0,1,9 85 9.4 19,0,0,40.1 361,5,(0) -15 +2 348 38.7
HAM 7 350,50.0,78,1,0,5 48 9.6 16,0,0,37.4 262,6,(17) -10 +10 245 35.0
MTL 8 391,48.9,60,0,0,7 51 7.3 14,0,0,42.5 340,3,(0) 0 +0 340 42.5
OTT 6 256,42.7,53,0,0,4 33 8.3 23,0,0,37.2 223,7,(0) 0 +20 243 40.5
SSK 7 355,50.7,64,0,2,6 49 8.2 15,0,0,43.7 306,2,(0) -30 +0 276 39.4
TOR 0 0,,0,0,0,0 0 0,0,0,0,,(0) 0 +0 0
WPG 3 144,48.0,59,0,0,3 17 5.7 9,0,0,42.3 127,4,(0) 0 +10 137 45.7
"CFL 53 2,565",48.4,78,2,4,44 353 8.0 23,0,0,"40.2 2,132",,"(33) -110 +42 2,031 38.3"
