Team,TD,10+,20+,yds_per_game,Opp_rush_TD_TD,Opp_rush_10+,Opp_rush_20+,Atts,Yards,Avg,1st_down_rush_Atts,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Atts,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg
BC,1,5,0,123,0,4,0,24,123,5.1,15,99,6.6,11,43,3,13,95,7.3
CGY,0,4,0,95,1,5,0,13,95,7.3,10,65,6.5,2,11,1,24,123,5.1
EDM,0,2,1,73,0,4,1,16,73,4.6,11,48,4.4,5,14,1,23,135,5.9
HAM,1,3,0,66,1,3,1,11,66,6.0,8,58,7.3,0,0,0,29,145,5.0
MTL,1,1,0,64,0,1,0,22,64,2.9,17,53,3.1,5,15,1,16,54,3.4
OTT,0,1,0,54,1,1,0,16,54,3.4,12,33,2.8,3,15,2,22,64,2.9
SSK,0,4,1,135,0,2,1,23,135,5.9,14,82,5.9,2,21,1,16,73,4.6
TOR,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,
WPG,1,3,1,145,1,3,0,29,145,5.0,19,114,6.0,2,7,1,11,66,6.0
CFL,4,23,3,189,4,23,3,154,755,4.90,106,552,5.21,30,126,10,154,755,4.90
