Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,Offensive_giveaways,Return_giveaways,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,0,2,6,1,(1),0,-1,1,1,0,1,1,0
CGY,0,1,0,1,(0),0,+1,0,1,1,1,2,6
EDM,1,3,3,3,(0),1,0,0,2,0,2,3,0
HAM,1,4,17,4,(0),1,+1,2,1,4,0,5,21
MTL,0,1,0,1,(0),2,+4,1,0,0,3,5,3
OTT,2,5,3,5,(0),0,-4,0,3,1,0,1,0
SSK,1,3,0,3,(0),1,0,0,2,0,2,3,3
TOR,0,0,0,0,(0),0,0,0,0,0,0,0,0
WPG,1,5,21,4,(1),1,-1,4,0,2,1,4,17
CFL,6,24,50,22,(2),6,2022,8,10,8,10,24,50
