Team,Team Oppt,1st_down_plays,1st_down_avg_yds,Opp_1st_dn_plays,Opp_1st_dn_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,"4,055 3,567",569,7.13,556,6.42,184,385
CGY,"3,248 3,524",519,6.26,520,6.78,218,301
EDM,"3,715 3,777",512,7.26,557,6.78,231,281
HAM,"3,095 4,033",514,6.02,539,7.48,225,289
MTL,"3,371 3,135",511,6.6,522,6.01,218,293
OTT,"3,388 3,914",544,6.23,524,7.47,249,295
SSK,"3,305 4,064",569,5.81,563,7.22,203,366
TOR,"3,892 3,297",515,7.56,557,5.92,256,259
WPG,"4,187 2,945",560,7.48,475,6.2,261,299
CFL,"32,256","4,813",6.7,"4,813",6.7,"2,045","2,768"
