Team,PA,Avg,Avg,Diff,,PER GAME,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,439,24.4,27.5,+3.1,,CFL-Wide: 5.18,470,26.1,22.7,408,26.1,22.7,18,495,24.4,27.5
CGY,435,25.6,23.5,-2.1,,Offence 4.56,379,22.3,23.1,392,22.3,23.1,17,399,25.6,23.5
EDM,517,28.7,20.4,-8.3,,Return 0.62,340,18.9,26.6,478,18.9,26.6,18,367,28.7,20.4
HAM,439,25.8,22.8,-3.0,,- Kick 0.19,363,21.4,24.1,409,21.4,24.1,17,388,25.8,22.8
MTL,372,21.9,24.7,+2.8,,- Defence 0.42,354,20.8,21.5,366,20.8,21.5,17,420,21.9,24.7
OTT,480,28.2,23.1,-5.1,,,351,20.6,25.7,437,20.6,25.7,17,393,28.2,23.1
SSK,551,30.6,21.5,-9.1,,,366,20.3,28.3,509,20.3,28.3,18,387,30.6,21.5
TOR,374,22.0,33.2,+11.2,,,506,29.8,20.6,350,29.8,20.6,17,564,22.0,33.2
WPG,364,21.4,32.8,+11.4,,,535,31.5,18.5,315,31.5,18.5,17,558,21.4,32.8
CFL,"3,971",50.9,50.9,,,,"3,664",47.0,47.0,"3,664",47.0,47.0,78,"3,971",50.9,50.9
