2023 CFL,Unnamed: 0,2023 PENALTIES BY TEAM: (INCL. DECLINED),Unnamed: 1,Unnamed: 2,Illegal Kicks OB 220,23,9.6
PENALTIES BY TEAM,,BC CGY EDM HAM MTL OTT SSK,TOR,WPG,Offence - Hold/Il. Block:,,
PREVENTABLE:,CFL,,,,"Holding & Illegal Block 1,096",142,7.7
Offside - Offence,47,7 6 6 5 8 3 2,7,3,All Other Calls:,,
Offside - Defence,128,20 4 22 11 21 13 12,16,9,"Offside, Proc., Tm Ct ... 1,775",371,4.8
Procedure,86,7 14 7 18 2 10 10,12,6,,,
Procedure No End,14,0 0 0 6 2 1 1,1,3,,,
Illegal Sub/Too Many Men,23,3 2 5 4 4 0 1,4,0,,,
Illegal  Formation,1,1 0 0 0 0 0 0,0,0,COACHES' CHALLENGES,ON OFF/DEF:,
Illegal Participation,6,0 2 1 0 1 0 0,0,2,YEAR Total Won Call Stands,OFF,DEF
Time Count,46,8 3 2 7 4 3 3,11,5,2023 81 22 59 73%,51,30
Objectionable Conduct,70,3 7 7 14 12 5 7,13,2,2022 92 42 50 54%,56,36
No Yards,63,7 10 10 8 5 7 10,3,3,2021 62 26 36 58%,35,27
IDK (Ill. Downfield),5,0 0 2 2 1 0 0,0,0,2019 86 35 51 59%,51,35
Contacting Kicker,4,1 0 1 0 2 0 0,0,0,,,
Illegal Punt,15,3 1 3 2 0 3 1,0,2,,,
Illegal Kickoff,8,0 0 3 3 0 2 0,0,0,,,
TECHNICAL:,,,,,TOTAL GAME PLAYS,PER POSS'N,
Intentional Ground,11,0 1 3 3 1 0 1,0,2,YEAR Plays PerG Off* Sp T,Poss,Avg
Holding - Offence,118,18 10 13 11 9 11 16,16,14,"2023 11,786 145.5 9,392 2,394","2,224",4.22
Illegal Blk - Offence,24,1 4 1 3 1 1 2,8,3,"2022 11,761 145.2 9,446 2,315","2,167",4.36
Holding - Return,88,14 9 9 14 14 9 9,4,6,"2021 9,327 148.0 7,451 1,876","1,748",4.26
Illegal Blk - Return,54,5 8 5 6 12 5 1,6,6,"2019 12,147 150.0 9,731 2,416","2,244",4.34
Defensive Pass Interf.,83,11 10 14 9 8 7 7,7,10,* Offensive plays includes those negated by penalty,,
Illegal Contact (ICR),52,11 7 10 3 5 4 7,2,3,,,
Off. Pass Interference,16,1 3 1 2 1 1 2,1,4,CFL 2023,,
Inelig Rec/Ill Fwd Pass,0,0 0 0 0 0 0 0,0,0,PLAYS IN DETAIL,,
Pyramiding/Ill Inter*,5,0 1 2 1 0 1 0,0,0,By Q: Tot % Avg,,
ROUGHNESS:,,,,,"Q1 2,635 22.4% 32.5",,
UR - General,166,20 19 18 16 14 23 22,26,8,"Q2 3,265 27.7% 40.3",,
UR - Roughing Passer,49,9 4 3 8 8 1 4,7,5,"Q3 2,599 22.1% 32.1",,
UR - Face Mask,34,2 4 2 4 5 6 5,4,2,"Q4 3,243 27.5% 40.0",,
UR - Horse Coll Tackle,14,2 0 3 0 1 2 1,3,2,OT 44 0.4%,,
UR - Blindside Block,5,0 0 1 2 0 0 2,0,0,Split Tot % Avg,,
UR - Clip/Crack Back,0,0 0 0 0 0 0 0,0,0,"OFF 9,392 79.7% 116.0",,
UR - Cut/Chop Block,2,0 0 0 0 0 2 0,0,0,"S/T 2,394 20.3% 29.6",,
UR - Spearing,2,0 1 1 0 0 0 0,0,0,"11,786 Total",,
UR - Piling On,0,0 0 0 0 0 0 0,0,0,,,
UR - Roughing Kicker,3,0 0 0 1 0 2 0,0,0,,,
Rough Play DQ,3,0 0 1 0 2 0 0,0,0,,,
ACCEPTED,"1,245",138 114 134 143 127 111 108,139,90,,,
DECLINED (included),(141),(16) (16) (22) (20) (16) (11) (18),(12),(10),,,
