Team,,C2,FG,Sgl,S/T,TM_TDs_FR,TM_TDs_PR,TM_TDs_KOR,TM_TDs_FGM,TD,C1,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,,0,50,7,0,2,0,0,1,49,44,10,35,1,110,155,89,141,0
CGY,,2,52,5,1,2,0,0,0,36,29,14,19,1,66,133,101,103,9
EDM,,1,23,13,1,0,0,1,0,41,35,15,22,3,82,121,74,90,0
HAM,,4,42,6,0,2,0,1,1,40,28,12,23,1,47,134,105,122,0
MTL,,2,46,7,0,4,2,0,1,43,35,14,17,5,78,124,97,143,0
OTT,,7,42,6,0,1,1,1,0,40,29,22,11,4,76,119,80,126,14
SSK,,3,40,9,1,0,3,0,0,37,28,14,20,0,77,101,92,103,14
TOR,,4,40,10,1,0,4,0,0,66,55,30,26,6,182,145,125,139,0
WPG,,1,46,3,2,1,1,0,0,65,57,20,42,1,123,161,144,149,17
CFL,,24,381,66,6,12,11,3,3,417,340,151,215,22,841,"1,193",907,"1,116",54
