Team,TOP,Yds Diff,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_YdL
BC,29:32,-3.5,247,"8,916",36.1,28,6,246,39.6
CGY,29:15,+2.9,251,"9,903",39.5,37,12,246,36.5
EDM,28:57,+0.6,238,"8,782",36.9,18,3,237,36.3
HAM,31:26,-4.7,243,"8,607",35.4,30,5,245,40.1
MTL,29:45,+0.9,239,"8,941",37.4,28,5,245,36.5
OTT,30:48,-1.7,259,"9,556",36.9,27,10,254,38.6
SSK,28:57,-1.7,257,"9,473",36.9,27,7,256,38.5
TOR,28:30,+7.4,249,"10,362",41.6,49,20,256,34.3
WPG,32:50,-0.3,241,"9,143",37.9,30,11,239,38.2
CFL,,0.0,"2,224","83,683",37.6,274,79,"2,224",37.6
