Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,11,44,150,40 (3),9,-12,10,23,8,15,32,72
CGY,7,30,78,28 (2),12,+9,7,16,11,16,39,99
EDM,15,43,95,41 (2),7,-18,9,19,5,13,25,35
HAM,12,47,118,45 (2),9,-4,12,23,15,19,43,96
MTL,5,34,86,32 (2),12,+14,13,16,14,22,48,128
OTT,11,47,92,43 (4),6,-4,18,18,13,24,43,125
SSK,16,49,118,46 (3),5,-20,15,18,9,15,29,42
TOR,7,27,46,25 (2),12,+27,5,15,15,27,54,151
WPG,7,35,85,34 (1),19,+8,13,15,12,12,43,120
CFL,91,356,868,334 (21),91,2023,102,163,102,163,356,868
