Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,SA,Sack%,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,624,2,3,36,2,14,312,11.5,1,1%,5,77,71,53,74.6,103.3,2.8,8.8,197,1.50
CGY,497,2,1,56,4,12,249,8.8,5,7%,1,75,69,42,60.9,75.6,2.9,7.2,311,0.50
EDM,305,2,1,102,1,5,153,10.3,6,11%,2,55,47,26,55.3,64.6,4.3,6.5,172,0.50
HAM,479,4,2,47,2,10,240,12.3,5,6%,1,77,71,46,64.8,70.1,5.6,6.7,156,0.50
MTL,261,0,0,61,3,6,261,12.2,6,22%,1,27,20,14,70.0,114.8,0.0,13.1,121,0
OTT,415,5,0,50,2,11,208,11.1,3,4%,3,79,73,40,54.8,42.9,6.8,5.7,148,0.00
SSK,592,2,4,45,4,15,296,10.9,5,6%,4,84,75,49,65.3,96.1,2.7,7.9,191,2.00
TOR,238,0,0,59,1,4,238,11.5,1,4%,0,24,23,14,60.9,95.9,0.0,10.3,113,0
WPG,647,0,5,47,6,18,324,13.2,2,3%,4,67,61,44,72.1,133.7,0.0,10.6,218,0
CFL,"4,058",17,16,102,25,95,507,11.2,34,6%,21,565,510,328,64.3,85.4,3.3,8.0,"1,627",0.94
