Team,PA,Avg,Avg,Diff,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,15,7.5,23.5,+16.0,46,23.0,7.5,15,23.0,7.5,2,47,7.5,23.5
CGY,40,20.0,20.5,0.5,35,17.5,16.5,33,17.5,16.5,2,41,20.0,20.5
EDM,39,19.5,6.5,-13.0,13,6.5,19.5,39,6.5,19.5,2,13,19.5,6.5
HAM,74,37.0,22.5,-14.5,33,16.5,36.0,72,16.5,36.0,2,45,37.0,22.5
MTL,12,12.0,19.0,+7.0,19,19.0,12.0,12,19.0,12.0,1,19,12.0,19.0
OTT,45,22.5,13.5,-9.0,21,10.5,19.5,39,10.5,19.5,2,27,22.5,13.5
SSK,58,29.0,22.0,-7.0,44,22.0,25.5,51,22.0,25.5,2,44,29.0,22.0
TOR,14,14.0,32.0,+18.0,32,32.0,14.0,14,32.0,14.0,1,32,14.0,32.0
WPG,58,29.0,43.5,+14.5,78,39.0,23.0,46,39.0,23.0,2,87,29.0,43.5
CFL,355,44.4,44.4,,321,40.1,40.1,321,40.1,40.1,8,355,44.4,44.4
