Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,10,9,90.0,3,3,100.0,7,6,85.7,2,1,342,38.0,394,39.4
CGY,53,0,10,8,80.0,5,4,80.0,5,4,80.0,2,2,296,37.0,380,38.0
EDM,43,0,3,3,100.0,2,2,100.0,1,1,100.0,0,0,78,26.0,78,26.0
HAM,44,0,5,5,100.0,4,4,100.0,1,1,100.0,0,0,158,31.6,158,31.6
MTL,48,0,5,5,100.0,2,2,100.0,3,3,100.0,0,0,185,37.0,185,37.0
OTT,42,0,7,6,85.71428571428571,4,4,100.0,3,2,66.7,0,0,172,28.7,217,31.0
SSK,46,2,11,8,72.72727272727273,8,7,87.5,3,1,33.3,2,0,195,24.4,331,30.1
TOR,42,0,3,3,100.0,2,2,100.0,1,1,0.0,0,0,85,28.3,85,28.3
WPG,50,0,7,7,100.0,6,6,100.0,1,1,100.0,1,1,213,30.4,213,30.4
CFL,53,2,61,54,88.52459016393442,36,34,94.4,25,20,80.0,7,4,"1,724",31.9,"2,041",33.5
