Team,Int,TD,LG,30+,2D_conversions,TDI,yds_per_game,GP,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,Dropbacks,SA%,SA,Esc_runs
BC,2,1,47,1,11,0.50,9.6,3,91,52,57.1,482,66.3,2.2,5.3,205,104,11%,11,2
CGY,4,3,60,4,15,0.75,10.3,3,104,69,66.3,813,83.5,3.8,7.8,375,114,4%,5,5
EDM,5,3,44,6,20,0.60,11.8,3,92,58,63.0,767,77.6,5.4,8.3,276,99,3%,3,4
HAM,0,5,59,8,19,0,12.1,3,78,54,69.2,884,128.4,0.0,11.3,393,86,7%,6,2
MTL,5,0,61,4,15,0.00,12.8,2,82,44,53.7,522,47.9,6.1,6.4,116,89,3%,3,4
OTT,1,0,61,7,12,0.00,10.4,2,53,36,67.9,593,97.4,1.9,11.2,328,62,13%,8,1
SSK,5,4,102,5,16,0.80,11.6,3,92,55,59.8,786,79.3,5.4,8.5,362,106,6%,6,8
TOR,3,4,84,1,10,1.33,8.5,2,67,52,77.6,577,103.9,4.5,8.6,232,78,10%,8,3
WPG,2,6,47,5,17,3.00,12.9,3,104,66,63.5,850,100.2,1.9,8.2,245,118,8%,9,5
CFL,27,26,102,41,135,0.96,11.2,12,763,486,63.7,"6,274",86.0,3.5,8.2,"2,532",856,###,59,34
