Unnamed: 0,OPPONENT POSSESSIONS:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Own 1-20,Own 21-40,Own 41-54,Opp 55-41,Opp 40-21,Opp 20-1,Opp 2&O
TM,Poss TD FG FGM,T/O,Punt,Oth,Drv TD,Drv TD,Drv TD,Drv TD,Drv TD,Drv TD,2&O %
BC,39 1 5 2,7,23,1,4 0,24 1,8 0,2 0,0 0,1 0,15 38%
CGY,46 6 6 2,7,21,4,10 2,20 2,9 1,1 0,4 0,2 1,19 41%
EDM,42 6 10 2,7,14,3,11 0,18 2,7 2,2 0,4 2,0 0,11 26%
HAM,42 11 6 0,4,18,3,11 2,14 5,10 2,2 0,5 2,0 0,14 33%
MTL,29 0 8 0,9,12,0,5 0,20 0,3 0,1 0,0 0,0 0,14 48%
OTT,31 3 5 0,2,19,2,5 0,17 1,6 1,1 0,1 1,1 0,8 26%
SSK,43 8 7 0,6,19,3,5 1,22 5,12 1,0 0,4 1,0 0,16 37%
TOR,28 5 1 0,7,13,2,4 0,17 2,3 1,3 1,1 1,0 0,11 39%
WPG,40 8 6 1,6,18,1,6 0,20 5,8 0,2 1,2 0,2 2,14 35%
CFL,340 48 54 7,55,157,19,61 5,172 23,66 8,14 2,21 7,6 3,122 36%
