Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.6,63,1,2,0,0,18,839,13,120,9.2,19,37.7,679,(16),-55,+11,619,34.4
CGY,50.6,77,1,3,1,1,24,"1,215",21,212,10.1,79,40.1,963,(15),-15,+16,949,39.5
EDM,45.1,62,0,2,0,1,24,"1,083",19,215,11.3,44,36.2,868,(0),-45,+36,859,35.8
HAM,47.6,78,1,0,1,1,21,"1,000",18,186,10.3,77,36.9,774,(17),-10,+30,777,37.0
MTL,49.8,67,0,1,0,0,15,747,12,94,7.8,15,43.5,653,(0),-17,+0,636,42.4
OTT,47.6,64,1,1,0,0,14,666,11,58,5.3,23,40.6,568,(12),0,+38,594,42.4
SSK,53.3,90,1,2,1,1,16,852,13,220,16.9,92,37.0,592,(20),-45,+10,537,33.6
TOR,52.3,66,2,2,0,2,12,628,8,134,16.8,52,34.5,414,(21),-15,+8,386,32.2
WPG,47.7,59,0,0,0,0,13,620,10,96,9.6,17,40.3,524,(0),-15,+10,519,39.9
CFL,48.7,90,7,13,3,6,157,"7,650",125,"1,335",10.7,92,38.4,"6,035",(101),-217,+159,"5,876",37.4
