Team,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_40+,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,1,0,2,3,22,209,9.5,44,10,229,22.9,38,0,2,82,48,0,0,0,0,0
CGY,0,0,1,0,1,15,116,7.7,26,11,222,20.2,43,0,2,49,25,0,0,0,0,0
EDM,0,2,1,0,3,18,206,11.4,52,13,289,22.2,72,0,1,20,20,0,0,0,0,0
HAM,0,0,1,0,1,13,90,6.9,15,20,453,22.7,40,0,0,0,0,0,0,0,0,0
MTL,1,1,0,0,1,13,154,11.8,77,12,226,18.8,29,0,0,0,0,0,1,0,0,1
OTT,1,2,0,0,2,24,281,11.7,79,10,208,20.8,31,0,0,0,0,0,1,0,0,1
SSK,0,0,2,0,2,16,171,10.7,20,12,324,27.0,62,0,0,0,0,0,0,0,0,0
TOR,1,1,0,0,1,17,213,12.5,91,12,147,12.3,21,0,0,0,0,0,1,0,0,1
WPG,1,1,3,0,4,19,280,14.7,92,11,260,23.6,43,0,2,68,41,0,1,0,0,1
CFL,4,8,8,2,18,157,"1,720",11.0,92,111,"2,358",21.2,72,0,7,219,48,0,4,0,0,4
