Team,GP,Yards,yds_per_game,Rank,Off_plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,4,"1,570",392.5,1,233,6.74,81,5,"1,249",386,-65,35%,63%,2%,140,7
CGY,3,"1,085",361.7,5,173,6.27,60,3,788,324,-27,35%,64%,2%,105,5
EDM,4,952,238.0,9,182,5.23,56,1,826,234,-108,31%,69%,1%,109,16
HAM,3,930,310.0,7,167,5.57,40,2,824,174,-68,24%,75%,1%,118,7
MTL,3,950,316.7,6,147,6.46,54,6,823,241,-114,37%,59%,4%,72,15
OTT,3,858,286.0,8,159,5.40,55,7,600,304,-46,35%,61%,4%,93,4
SSK,3,"1,171",390.3,2,178,6.58,64,0,867,344,-40,36%,64%,0%,105,9
TOR,3,"1,127",375.7,3,164,6.87,83,1,751,410,-34,51%,49%,1%,76,4
WPG,4,"1,459",364.8,4,235,6.21,98,9,"1,038",527,-106,42%,54%,4%,118,10
CFL,15,"10,102",673.5,,"1,638",6.17,591,34,"7,766","2,944",-608,36%,62%,2%,936,77
