Team,C1,C2,FG,Sgl,S/T,FR,PR,KOR,FGM,TD,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,9,0,10,2,0,0,0,0,0,10,2,8,0,21,32,20,28,0
CGY,4,1,8,1,0,1,0,0,0,6,3,2,0,11,13,17,23,3
EDM,3,1,3,1,0,0,0,0,0,6,0,5,1,10,17,9,15,0
HAM,1,2,5,1,0,2,0,0,0,6,2,2,0,10,9,16,22,0
MTL,6,0,6,0,0,0,1,0,0,6,2,2,1,17,14,10,19,0
OTT,2,1,10,1,0,0,1,0,0,3,1,1,0,11,23,3,16,0
SSK,5,0,8,2,0,0,0,0,0,7,2,5,0,17,10,28,12,6
TOR,13,1,6,3,0,0,1,0,0,14,9,2,2,22,43,28,27,0
WPG,11,0,8,1,1,0,1,0,0,12,4,7,0,34,28,31,17,0
CFL,54,6,64,12,1,3,4,0,0,70,25,34,4,153,189,162,179,9
