Team,TOP,Gap,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_FP_Yds,Opp_YdL
BC,32:25,-7.6,57,"1,868",32.8,4,1,54,"2,178",40.3
CGY,27:33,+0.8,46,"1,811",39.4,5,1,46,"1,773",38.5
EDM,26:15,+1.5,55,"2,002",36.4,4,2,57,"1,992",34.9
HAM,32:48,-1.9,43,"1,533",35.7,6,2,42,"1,576",37.5
MTL,29:16,+5.0,40,"1,470",36.8,4,1,42,"1,332",31.7
OTT,30:04,-3.2,46,"1,599",34.8,4,1,45,"1,709",38.0
SSK,31:00,+1.7,43,"1,694",39.4,8,3,43,"1,620",37.7
TOR,31:07,+6.1,42,"1,706",40.6,8,5,45,"1,553",34.5
WPG,29:59,-0.5,54,"2,028",37.6,6,2,52,"1,978",38.0
CFL,,,426,"15,711",36.9,49,18,426,"15,711",36.9
