Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,Offensive_giveaways,Return_giveaways,TAKEAWAYS:_Dns,YEAR GP T/Os,PerG,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,0,9,40,8,(1),4,2023 15 76,5.07,-1,1,8,2,2,8,13
CGY,0,6,3,5,(1),2,2022 81 348,4.30,+3,1,5,3,4,9,21
EDM,4,14,26,13,(1),2,2021 63 250,3.97,-7,4,6,0,5,7,7
HAM,3,10,45,10,(0),1,2019 81 337,4.16,-5,2,5,4,0,5,21
MTL,0,5,7,5,(0),4,2018 81 344,4.25,+6,4,1,1,6,11,20
OTT,3,10,18,9,(1),1,2017 81 291,3.59,-3,2,5,2,4,7,6
SSK,4,7,3,7,(0),1,2016 81 348,4.30,-1,0,3,0,5,6,3
TOR,2,4,10,4,(0),2,,,+9,0,2,2,9,13,65
WPG,4,11,31,11,(1),3,,,-1,5,2,5,2,10,27
CFL,20,76,183,72,(5),20,,,2022,19,37,19,37,76,183
