Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,2,20,"1,284",64.2,19,404,21.3,43,20,"1,284",64.2,686,34.3
CGY,79,0,0,0,1,13,873,67.2,13,327,25.2,42,13,873,67.2,524,40.3
EDM,68,0,0,0,1,12,629,52.4,12,165,13.8,62,12,629,52.4,438,39.8
HAM,79,0,0,0,1,14,813,58.1,11,206,18.7,43,13,800,61.5,542,41.7
MTL,75,0,0,0,0,13,868,66.8,13,283,21.8,30,13,868,66.8,454,34.9
OTT,67,0,0,0,0,11,634,57.6,10,141,14.1,25,11,634,57.6,390,35.5
SSK,95,1,0,0,1,13,814,62.6,12,224,18.7,41,13,814,62.6,478,36.8
TOR,98,1,0,0,1,19,"1,368",72.0,18,472,26.2,72,19,"1,368",72.0,664,34.9
WPG,90,1,0,0,1,23,"1,543",67.1,22,508,23.1,40,23,"1,543",67.1,830,36.1
CFL,98,4,0,0,8,138,"8,826",64.0,130,"2,730",21.0,72,137,"8,813",64.3,"5,006",36.8
