Team,GP,Yards,yds_per_game,Off_plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,5,"1,280",256.0,261,4.90,79,0,"1,028",410,-158,30%,70%,0%,161,21
CGY,4,"1,412",353.0,233,6.06,86,6,"1,044",427,-59,37%,61%,3%,132,9
EDM,5,"1,926",385.2,292,6.60,131,12,"1,244",734,-52,45%,51%,4%,141,8
HAM,4,"1,436",359.0,218,6.59,91,7,"1,070",475,-109,42%,55%,3%,109,11
MTL,4,"1,282",320.5,216,5.94,69,8,990,363,-71,32%,64%,4%,132,7
OTT,4,"1,273",318.3,217,5.87,86,5,"1,049",334,-110,40%,58%,2%,112,14
SSK,4,"1,425",356.3,226,6.31,96,3,"1,012",451,-38,42%,56%,1%,121,6
TOR,3,"1,047",349.0,166,6.31,48,1,965,173,-91,29%,70%,1%,106,11
WPG,5,"1,536",307.2,254,6.05,77,1,"1,247",406,-117,30%,69%,0%,160,16
CFL,19,"12,617",664.1,"2,083",6.06,763,43,"9,649","3,773",-805,37%,61%,2%,"1,174",103
