20+_yds_Effic,Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+-yds_TD
23.8,BC,110,80,72.7,608,1,0,81.9,27,16,59.3,275,0,2,118.6,24,4,16.7,145,1,0
94.6,CGY,82,70,85.4,599,1,1,102.6,25,14,56.0,230,3,1,50.4,25,5,20.0,215,0,3
70.6,EDM,74,55,74.3,425,2,3,90.2,37,23,62.2,446,1,0,92.8,30,13,43.3,373,3,2
133.1,HAM,57,46,80.7,452,0,2,114.1,34,20,58.8,352,2,0,69.7,18,8,44.4,266,1,3
84.2,MTL,82,59,72.0,460,1,0,80.3,23,10,43.5,158,2,0,30.7,27,11,40.7,372,3,3
61.3,OTT,64,54,84.4,631,0,1,118.7,30,12,40.0,202,3,0,21.8,18,8,44.4,216,2,1
44.2,SSK,71,51,71.8,547,2,1,87.0,32,16,50.0,263,2,2,72.8,18,5,27.8,202,2,1
92.8,TOR,61,52,85.2,418,1,2,105.8,18,12,66.7,199,4,0,11.1,27,12,44.4,348,4,5
121.3,WPG,86,62,72.1,459,2,2,82.5,43,24,55.8,381,2,1,73.9,31,12,38.7,407,0,3
82.1,CFL,687,529,77.0,"4,599",10,12,93.9,269,147,54.6,2506,19,6,64.4,218,78,35.8,"2,544",16,21
