Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Atts,Yards,Avg,1st_down_rush_Atts,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Atts,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,4,12,3,94,11,1,98,472,4.8,63,310,4.9,30,138,10,79,410,5.2,3
CGY,4,14,2,108,12,1,79,431,5.5,60,324,5.4,19,75,6,86,427,5.0,3
EDM,1,11,2,75,17,4,88,377,4.3,54,234,4.3,32,129,10,131,734,5.6,4
HAM,2,9,0,70,13,3,67,278,4.1,45,190,4.2,15,66,4,91,475,5.2,7
MTL,3,7,1,79,9,2,68,315,4.6,48,221,4.6,23,123,11,69,363,5.3,2
OTT,2,12,3,110,8,1,77,440,5.7,58,290,5.0,18,163,8,86,334,3.9,3
SSK,2,12,2,106,16,1,80,422,5.3,44,228,5.2,14,84,6,96,451,4.7,5
TOR,9,12,1,137,6,0,83,410,4.9,58,290,5.0,17,85,1,48,173,3.6,1
WPG,4,14,2,126,11,3,123,628,5.1,79,443,5.6,17,53,4,77,406,5.3,3
CFL,31,103,16,199,103,16,763,"3,773",4.94,509,2530,4.97,185,916,60,763,"3,773",4.94,31
