Team,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,1,0,1,2,3,26,247,9.5,44,12,280,23.3,38,0,2,82,48,0,0,0,0,0
CGY,0,0,1,6,1,2,26,245,9.4,26,20,432,21.6,43,0,3,135,86,0,0,0,0,0
EDM,0,2,2,T3,0,4,28,278,9.9,52,19,427,22.5,72,0,1,20,20,0,0,0,0,0
HAM,0,1,2,7,0,3,21,206,9.8,39,26,554,21.3,46,0,0,0,0,0,0,0,0,0
MTL,1,1,0,8,0,1,21,199,9.5,77,22,437,19.9,34,0,0,0,0,0,1,0,0,1
OTT,1,2,0,5,0,2,35,365,10.4,79,15,336,22.4,39,0,0,0,0,0,1,0,0,1
SSK,2,2,2,2,0,4,27,401,14.9,94,19,437,23.0,62,0,1,29,29,0,2,0,0,2
TOR,1,1,0,9,0,1,23,245,10.7,91,16,243,15.2,32,0,0,0,0,0,1,0,0,1
WPG,1,1,3,T3,1,5,31,351,11.3,92,15,337,22.5,43,0,3,170,102,0,1,0,0,1
CFL,6,11,10,,4,25,238,"2,537",10.7,94,164,"3,483",21.2,72,0,10,436,102,0,6,0,0,6
