Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,No,Yards,Avg,Oppt_returns_Oppt_returns_No,Oppt_returns_Oppt_returns_Yards,Oppt_returns_Oppt_returns_Avg,Oppt_returns_Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,2,20,"1,284",64.2,19,404,21.3,43,20,"1,284",64.2,686,36.1
CGY,79,0,0,0,1,18,"1,186",65.9,18,424,23.6,42,18,"1,186",65.9,660,38.8
EDM,68,0,1,0,2,17,834,49.1,16,229,14.3,62,17,834,49.1,642,42.8
HAM,79,0,0,0,2,19,"1,125",59.2,16,329,20.6,43,18,"1,112",61.8,753,41.8
MTL,75,0,0,0,0,17,"1,137",66.9,17,379,22.3,32,17,"1,137",66.9,567,35.4
OTT,67,0,0,0,0,13,750,57.7,12,172,14.3,25,13,750,57.7,465,35.8
SSK,95,1,0,0,1,18,"1,144",63.6,17,343,20.2,41,18,"1,144",63.6,657,36.5
TOR,98,1,0,0,1,24,"1,741",72.5,23,582,25.3,72,24,"1,741",72.5,811,33.8
WPG,90,1,0,0,1,27,"1,826",67.6,26,621,23.9,40,27,"1,826",67.6,980,36.3
CFL,98,4,1,0,10,173,"11,027",63.7,164,"3,483",21.2,72,172,"11,014",64.0,"6,221",37.3
