Team,T/O,Punt,Oth,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,10,36,3,68,5,12,2,8,0,40,2,13,0,6,3,0,0,1,0,22,32%
CGY,9,35,6,73,10,10,3,14,2,37,4,11,2,4,1,4,0,3,1,27,37%
EDM,10,33,7,82,12,18,2,19,0,41,5,12,2,6,3,4,2,0,0,27,33%
HAM,10,30,5,71,15,11,0,14,2,32,8,15,3,4,0,6,2,0,0,21,30%
MTL,13,30,3,69,9,13,1,12,1,41,4,9,1,5,1,2,0,0,0,28,41%
OTT,11,41,2,74,8,12,0,11,0,43,4,12,2,4,1,3,1,1,0,25,34%
SSK,8,35,3,71,12,11,2,7,2,41,6,15,1,2,1,6,2,0,0,24,34%
TOR,16,25,3,59,11,4,0,9,0,39,7,6,2,4,1,1,1,0,0,22,37%
WPG,15,39,2,81,11,11,3,12,1,43,6,17,0,4,1,3,1,2,2,31,38%
CFL,102,304,34,648,93,102,13,106,8,357,46,110,13,39,12,29,9,7,3,227,35%
