Team,FGM,T/O,Punt,Oth,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,1,9,31,5,71,13,12,18,2,38,7,7,1,6,2,1,0,1,1,22,31%
CGY,3,8,40,2,75,9,13,10,1,40,4,16,1,4,1,4,2,1,0,26,35%
EDM,2,16,48,1,82,9,6,9,1,54,5,11,1,4,1,4,1,0,0,29,35%
HAM,0,13,31,4,69,8,13,10,0,36,3,11,1,9,3,2,0,1,1,24,35%
MTL,1,11,33,3,68,8,12,15,1,34,4,14,2,3,0,1,1,1,0,20,29%
OTT,1,16,33,6,76,5,15,15,1,37,1,18,1,2,1,3,1,1,0,35,46%
SSK,4,12,29,3,68,10,10,11,0,39,5,10,2,3,1,4,1,1,1,25,37%
TOR,1,5,24,2,55,15,8,7,1,27,7,10,2,4,3,7,2,0,0,15,27%
WPG,0,12,35,8,84,16,13,9,1,52,10,12,2,7,2,3,1,1,0,31,37%
CFL,13,102,304,34,648,93,102,104,8,357,46,109,13,42,14,29,9,7,3,227,35%
