Team,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,3,28,303,10.8,91,1,1,22,453,20.6,43,0,2,1,20,20,0,0,1,0,0,1
CGY,7,34,441,13.0,94,3,3,24,521,21.7,42,0,1,3,184,102,0,3,3,0,0,3
EDM,5,40,483,12.1,44,0,3,19,276,14.5,62,0,2,1,29,29,0,0,0,0,0,0
HAM,3,31,282,9.1,77,1,1,18,362,20.1,43,0,2,0,0,0,0,0,1,0,0,1
MTL,0,27,220,8.1,20,0,0,17,379,22.3,32,0,0,1,27,27,0,0,0,0,0,0
OTT,1,31,230,7.4,33,0,1,17,282,16.6,34,0,0,1,24,24,0,0,0,0,0,0
SSK,3,33,421,12.8,92,1,1,19,351,18.5,41,0,1,3,152,86,0,1,1,0,0,1
TOR,5,24,272,11.3,52,0,2,28,753,26.9,72,0,3,0,0,0,0,0,0,0,0,0
WPG,1,30,339,11.3,30,0,0,30,698,23.3,40,0,1,1,7,7,0,0,0,0,0,0
CFL,28,278,"2,991",10.8,94,6,12,194,"4,075",21.0,72,0,12,11,443,102,0,4,6,0,0,6
